 11 TEFF'S       12 LOG G'S       6 FE.H'S        4 INDICES  (1 Sept 2005)
-4.698-3.401-2.309-1.407-0.967-0.704-0.504-0.355-0.244-0.160-0.090
-4.347-3.144-2.231-1.416-0.975-0.710-0.508-0.358-0.247-0.164-0.097
-4.074-2.929-2.159-1.424-0.985-0.720-0.516-0.363-0.251-0.168-0.103
-3.802-2.799-2.098-1.432-0.997-0.730-0.524-0.370-0.256-0.172-0.108
-3.653-2.695-2.041-1.428-1.013-0.745-0.536-0.378-0.261-0.176-0.113
-3.543-2.638-1.987-1.416-1.021-0.758-0.550-0.389-0.268-0.180-0.117
-3.470-2.595-1.927-1.390-0.999-0.763-0.565-0.404-0.277-0.183-0.120
-3.434-2.578-1.882-1.353-0.962-0.759-0.577-0.419-0.288-0.189-0.124
 [Fe/H] =  0.30: Color Index = BCv
-7.145-5.193-2.860-1.587-1.018-0.745-0.533-0.368-0.237-0.127-0.025
-6.498-4.771-2.753-1.553-1.003-0.734-0.525-0.364-0.238-0.137-0.048
-5.907-4.367-2.649-1.523-0.995-0.728-0.520-0.361-0.239-0.144-0.064
-5.426-4.011-2.553-1.497-0.994-0.726-0.518-0.360-0.240-0.148-0.073
-4.998-3.695-2.460-1.477-0.998-0.728-0.519-0.361-0.242-0.152-0.079
-4.633-3.431-2.360-1.463-0.997-0.725-0.517-0.361-0.245-0.157-0.086
-4.313-3.182-2.283-1.458-1.008-0.734-0.524-0.366-0.249-0.161-0.091
-4.076-3.015-2.205-1.458-1.021-0.746-0.533-0.372-0.253-0.165-0.097
-3.905-2.884-2.138-1.463-1.039-0.761-0.545-0.381-0.259-0.169-0.102
-3.783-2.788-2.067-1.466-1.060-0.779-0.559-0.391-0.266-0.174-0.106
-3.710-2.745-2.007-1.440-1.054-0.790-0.576-0.406-0.276-0.180-0.113
-3.674-2.728-1.962-1.403-1.020-0.791-0.592-0.424-0.287-0.183-0.113
